"Index" "DOV.Open" "DOV.High" "DOV.Low" "DOV.Close" "DOV.Volume" "DOV.Adjusted"
"2011-04-12" 43.243351 43.457859 42.80093 43.216537 1469115 33.979965
"2011-04-13" 43.498077 43.705883 42.847855 43.203133 1446141 33.969429
"2011-04-14" 43.002029 43.323792 42.485874 43.136097 1736742 33.916718
"2011-04-15" 43.25676 44.000832 43.102581 43.786324 1859964 34.427967
"2011-04-18" 43.062363 43.109283 42.43895 43.008736 2077914 33.816578
"2011-04-19" 43.11599 44.503582 43.11599 44.470066 2399843 34.965588
"2011-04-20" 45.113586 45.261063 44.63765 45.039852 2361504 35.413586
"2011-04-21" 45.582825 46.420742 45.113586 45.448757 3116200 35.735107
"2011-04-25" 45.522491 45.569416 44.29578 44.443253 2185174 34.944515
"2011-04-26" 44.778419 45.482273 44.604134 45.227547 2237685 35.561165
"2011-04-27" 45.334801 45.542603 44.825344 45.234249 2419087 35.566433
"2011-04-28" 45.180622 45.656559 45.113586 45.59623 2011231 35.851051
"2011-04-29" 45.623043 45.95821 45.334801 45.609638 1672446 35.861599
"2011-05-02" 45.864365 46.011837 45.006336 45.126995 1906358 35.482117
"2011-05-03" 45.086777 45.388428 44.369514 44.778419 2059267 35.208027
"2011-05-04" 44.63765 44.758308 43.565113 43.672367 2510086 34.338379
"2011-05-05" 43.431046 44.503582 43.069065 43.67907 4237131 34.343639
"2011-05-06" 44.376221 44.885674 43.652256 43.853355 2239177 34.480671
"2011-05-09" 43.947205 44.671165 43.839951 44.382923 1397211 34.897072
"2011-05-10" 44.456657 44.878971 44.376221 44.785126 1170906 35.213299
"2011-05-11" 44.684574 44.865562 43.793026 44.188526 1475977 34.744213
"2011-05-12" 44.07457 44.21534 43.484673 43.947205 1370955 34.55447
"2011-05-13" 43.974018 44.175117 43.008736 43.122692 1824161 33.906197
"2011-05-16" 42.934998 43.343903 42.512688 42.599831 1820581 33.49506
"2011-05-17" 42.358509 42.465763 41.634544 42.030045 1866677 33.047058
"2011-05-18" 42.103783 42.827744 41.942902 42.707085 2033310 33.579407
"2011-05-19" 42.97522 43.323792 42.767414 43.203133 1536245 33.969429
"2011-05-20" 43.223244 43.223244 42.358509 42.559608 1491790 33.463444
"2011-05-23" 41.84235 42.304882 41.641251 42.06356 1857279 33.073406
"2011-05-24" 42.12389 42.392025 41.688171 41.735096 1652605 32.815159
"2011-05-25" 41.634544 42.834446 41.399929 42.700378 2269311 33.574127
"2011-05-26" 42.278069 43.149506 42.150703 43.035549 2018094 33.984371
"2011-05-27" 43.203133 44.208633 43.203133 44.114788 2451309 34.836632
"2011-05-31" 44.751606 45.582825 44.523693 45.066666 3941160 35.588306
"2011-06-01" 44.731499 44.899082 42.707085 42.740601 3787953 33.751457
"2011-06-02" 42.874668 43.310387 42.358509 42.552906 2783083 33.603241
"2011-06-03" 41.862461 42.371918 41.741798 41.869164 1982589 33.063309
"2011-06-06" 41.768616 42.197628 41.594326 41.681469 1969760 32.915077
"2011-06-07" 41.963013 42.117188 41.580921 41.815536 2592433 33.020943
"2011-06-08" 41.56081 41.875866 41.48037 41.634544 2165482 32.878033
"2011-06-09" 41.741798 41.929493 41.601028 41.761909 1812972 32.978611
"2011-06-10" 41.453556 41.674767 40.736298 40.776516 1681397 32.200462
"2011-06-13" 40.964211 41.178719 40.60223 40.830143 1417648 32.242809
"2011-06-14" 41.399929 42.492577 41.379818 42.036747 2105512 33.195633
"2011-06-15" 41.594326 41.835648 41.02454 41.218937 1846090 32.549843
"2011-06-16" 41.212234 41.828945 40.897179 41.735096 2191290 32.957432
"2011-06-17" 42.170815 42.392025 41.627842 41.761909 1906209 32.978611
"2011-06-20" 41.594326 42.412136 41.533997 42.311584 1336644 33.412666
"2011-06-21" 42.633347 43.270164 42.546204 43.209835 1258176 34.122002
"2011-06-22" 42.934998 43.551704 42.821041 43.290276 1724062 34.185539
"2011-06-23" 42.472466 43.498077 41.963013 43.47797 2760856 34.333748
"2011-06-24" 43.524895 43.672367 42.559608 42.666862 1907552 33.693226
"2011-06-27" 42.747303 43.437748 42.3451 43.243351 1348578 34.148472
"2011-06-28" 43.39753 44.443253 43.317089 44.416439 1673042 35.074821
"2011-06-29" 44.671165 44.751606 44.007534 44.483475 2081345 35.127773
"2011-06-30" 44.677872 45.737 44.590729 45.448757 1970058 35.89006
"2011-07-01" 45.522491 46.427444 45.328094 46.313488 1338583 36.572903
"2011-07-05" 46.360413 46.568218 45.985023 46.239754 1235500 36.514683
"2011-07-06" 46.186127 46.621845 45.891178 46.420742 1968119 36.6576
"2011-07-07" 46.876572 47.024044 46.561512 46.816242 2275278 36.96991
"2011-07-08" 46.072166 46.467667 45.917992 46.380524 1857875 36.625843
"2011-07-11" 45.703484 45.797333 44.845455 45.187325 1374983 35.68359
"2011-07-12" 45.053257 45.247658 44.255558 44.282372 2059416 34.96896
"2011-07-13" 44.617538 45.039852 44.309185 44.456657 1812525 35.106602
"2011-07-14" 44.604134 44.878971 43.752808 43.906982 1982291 34.672535
"2011-07-15" 44.181824 44.248856 43.504784 44.222042 1529831 34.921333
"2011-07-18" 43.980721 44.134899 43.511486 44.020943 2218143 34.762531
"2011-07-19" 44.470066 44.966114 44.282372 44.959412 1467026 35.503613
"2011-07-20" 45.147106 45.321392 44.516991 44.617538 1771948 35.233654
"2011-07-21" 44.899082 45.167213 44.275669 44.483475 2924207 35.127773
"2011-07-22" 44.684574 45.17392 44.155006 44.805233 3416050 35.381863
"2011-07-25" 44.778419 45.301281 44.342701 44.657761 2127293 35.265404
"2011-07-26" 44.697979 44.919189 43.189724 43.283573 2308694 34.180244
"2011-07-27" 42.948402 42.968513 41.192123 41.326191 4910824 32.634525
"2011-07-28" 41.42004 41.802132 40.387722 40.494976 3322813 31.978128
"2011-07-29" 40.200027 41.3396 39.918488 40.535194 3884024 32.009895
"2011-08-01" 41.111687 41.319489 39.972115 40.736298 3411724 32.168701
"2011-08-02" 40.347504 40.729591 39.127491 39.147602 3485866 30.914141
"2011-08-03" 39.080566 39.884972 38.416935 39.697277 3713065 31.348206
"2011-08-04" 38.839249 39.040348 36.901978 36.982418 4618283 29.204336
